אֵב	ev
דואר זבל	doar-zevel
דּוֹגְמָה	dogma
דּוֹד	dod
דּוּד	dud
דּוֹדִים	dodim
דּוּדִים	dudim
דּוֹלָר	dolar
דוּן	dun
דַּוְקָא	davka
דוֹקטוֹר	doktor
דַּוָּר	davar
דּוֹרוֹן	doron
דּוֹרִית	dorit
דֹּחַן	dochan
דַּחַף	dakhaf
דָּחַף	dakhaf
דַּי	dai
דֵּי	dei
דִּיאֵטָה	dieta
דַּיָּג	dayag
דַּיָּה	daya
דִּיוֹ	diyo
דְּיוֹ	dyo
דִּיּוּן	diyun
דִּיּוּנִים	diyunim
דְּיוֹתָא	dyota
דְּיוֹתָה	dyota
דִּין	din
דִּיסְק קָשִׁיח	disk kashiakh
דִיפְּלוֹמָטִי	diplomati
דִּיפְּלוֹמַטְיָה	diplomatya
דִּירָה	dira
דֻּכָּא	duka
דְּלִי	dli
דְלעת	dlaat
דְּלֵקָה	dleika
דַּלֶּקֶת	daleket
דָּלֶ״ת	dalet
דָּלֶת	dalet
דֶּלְתָּא	delta
דֶּלְתּוֹת	deltot
דָּם	dam
דָּמָה	dama
דֶּמֶה	deme
דֵּמוֹקְרַטְיָה	demokratya
דְּמוּת	dmut
דָּמִים	damim
דִּמְיֵן	dimyen
דִּמֵּם	dimem
דִּמְעָה	dima
דָּן	dan
דֶּנְמַרְק	denmark
דֵּעָה	dea
דַּעַת	daat
דַּף	daf
דַּפְדְּפָן	dafdfan
דַּפִּים	dapim
דָּפַק	dafak
דֵּצֶמְבֶּר	detsember
דַּק	dak
דִּקְדּוּק	dikduk
דַּקָּה	daka
דַּקָּה	daka
דָּקֶל	daqel
דְקָלִים	dkalim
דַּקָּר	dakar
דָּקַר	dakar
דֶּקֶר	deker
דַּר	dar
דֹּר	dor
ד״ר	dr
דַּרְבּוּקָה	darbuka
דֶּרֶג	dereg
דָּרוֹם	darom
דְּרוֹר	dror
דֶּרֶךְ	derekh
דַּרְכּוֹן	darkon
דְּרָכִים	drachim
דַּרְקוֹן	darkon
דְּרָקוֹן	drakon
דָּרַשׁ	darash
דָּשָׁא	dasha
דָּת	dat
דָּתִי	dati
־ָה	-a
־ָהּ	-ah
הֲ־	ha-
הַ־	ha-
הֵ״א	he
הֵא	he
האו״ם	hau.m.
הָאוֹקְיָנוֹס הַדְרוֹמִי	haokyanos hadromi
הָאוֹקְיָנוֹס הַהׂדּי	haokyanos hahodi
הָאוֹקְיָנוֹס הַשָּׁקַט	haokyanos hashaket
הָאוֹר	haor
הָאַחֵרוֹת	haakherot
הָאִינְטֶרְנֶט	hainternet
הֵאִיץ	heits
הֵאִיר	heir
הַאִם	haim
הַאם	ham
הֶאֱמִין	heemin
הָאָרֶץ	haarets
הֶאֱשִׁים	heeshim
הַבָּא	haba
הֶבְדֵּל	hevdel
הֻבְדַּל	huvdal
הַבְדָּלָה	havdala
הִבְהִיר	hivhir
הִבִּיט	hibit
הֵבִיךְ	heivikh
הֵבִיס	hevis
הַבַּיְתָה	habayta
הֶבֶל	hevel
הִבְלִיעַ	hivlia
הֲבָנָה	havana
הֵבַנּוּ	hevanu, hevannu
הֲבָנוֹת	havanot
הֲבָנַת־	havanat-
הִבְרִיג	hivrig
הִבְרִיחַ	hiviakh
הַבְּרִית	habrit
הִבְשִׁיל	hivshil
הַגָּאוֹן מִוִּילְנָה	hagaon mivilna
הַגְבָּהָה	hagbaha
הִגְבִּיר	higbir
הֶגְבֵּל	hegbel
הַגְבָּלָה	hagbala
הֻגְבַּר	hugbar
הִגְדִּיל	higdil
הִגְדִּיר	higdir
הַגְדָּרָה	hagdara
הִגְזִים	higzim
הֵגִיב	hegiv
הִגִּיד	higid
הֲגִיָּה	hagiya
הִגִּיעַ	higia
הִגִּישׁ	higish
הַגָּלִיל	hagalil
הֵגֵן	hegen
הֻגְנַב	hugnav
הֲגַנָּה	hagana
הַגָּעָה	hagaa
הָגָר	hagar
הַגֵּר	hager
הַגָּשָׁה	hagasha
הִדְאִיג	hidig
הִדְגִּישׁ	hidgish
הַדְגָּמָה	hadgama
הֲדָדִי	hadadi
הֹדּוּ	hodu
הֲדַסָּה	hadasa
הָדָר	hadar
הִדְרִיךְ	hidrikh
הַדְרָכָה	hadrakha
הוּא	hu
הוּאַץ	huats
הוּאַר	huar
הוּבַל	huval
הוֹדָה	hoda
הוֹדִיעַ	hodia
הוֹדָעָה	hodaa
הוֹוֶה	hove
הוֹכִיחַ	hokhiakh
הוֹלִיד	holid
הוֹלֵךְ	holekh
הוֹלֵךְ־רֶגֶל	holekh-regel
הוֹלֶכֶת־רֶגֶל	holekhet-regel
הוֹלֵם	holem
הוֹלַנְד	holand
הִוֵּן	hiven
הוֹן	hon
הֻוַּן	huvan
הוֹסִיף	hosif
הוּסַף	husaf
הוֹעִיל	hoil
הוֹפִיעַ	hofia
הוֹפָעָה	hofaa
הוֹצֵא	hotse
הוֹצִיא	hotsi
הוֹצִיאֲךָ	hotsiacha
הוֹרָאָה	horaah
הוּרַד	hurad
הוֹרְדוֹס	hordus
הוֹרָה	hora
הוֹרֶה	hore
הוֹרִיד	horid
הוֹרִים	horim
הוֹרִישׁ	horish
הוֹרֵס	hores
הוֹשִׁיב	hoshiv
הוֹשִׁיעַ	hoshia
הוֹשֵׁעַ	hoshea
הוֹתִיר	hotir
הִזְדַּיֵּן	hizdayen
הִזְדַּמְּנוּת	hizdamnut
הִזְדַּעֲזֵעַ	hizdaazea
הִזְדַּעַזְעוּת	hizdaazut
הִזְדַּקֵּן	hizdaken
הִזְדַּקְּנוּת	hizdaknut
הִזְדָּרֵז	hizdarez
הַזֶּה	haze
הִזְהִיר	hizhir
הֵזִיז	heziz
הַזְמָנָה	hazmana
הִזְרִיק	hizrik
הֶחְבִּיא	hekhbi
הֶחָג	hechag
הֶחָג	hehag
הֶחְדִּיר	hekhdir
החופש הגדול	hakhofesh hagadol
הֶחְזִיק	hekhzik
הֶחְזִיר	hekhzir
הֵחִיל	hekhil
הֵחֵל	hekhel
הֻחְלַט	hukhlat
הֶחְלִיט	hekhlit
הֵחָלְשׁוּת	heikhalshut
הֶחְמִיץ	hekhmits
הֶחְשִׁיךְ	hekhshikh
הִטַּגֵּן	hitagen
הִטָּה	hita
הִטָּהֵר	hitaher
הִטַּנֵּף	hitanef
הַטְעָמָה	hatama
הִיא	hi
הָיָה	haya
הַיּוֹם	hayom
הָיִית	hayit
הָיִיתָ	hayita
הָיִיתִי	hayiti
הֵיכָן	hechan
הֵימִין	heimin
הִיסְטוֹרִי	histori
הִיסְטוֹרְיוֹגְרַפְיָה	historyografya
הַיַּרְדֵּ֔ן	hayyarden
הַיִּשּׁוּב	hayishuv
הִכָּה	hika
הֻכָּה	huka
הִכְחִישׁ	hikhkhish
הֲכִי	hakhi
הֵכִיל	hekhil
הֵכִין	hekhin
הִכִּישׁ	hikish
הֲכָנָה	hakhana
הִכְנִיס	hikhnis
הַכְנָסָה	hakhnasa
הַכְּנֶסֶת	hakneset
הִכְעִיס	hikhis
הֻכַּר	hukar
הִכְרִיז	hikhriz
הִכְשִׁיר	hikhshir
הֶכְשֵׁר	hekhsher
הִכְתִּיב	hikhtiv
הִכְתִּים	hikhtim
הִכְתִּיר	hikhtir
הִלְבִּישׁ	hilbish
הִלְהִיט	hilhit
הַלְוַאי	halvay
הִלְחִים	hilkhim
הֶלְיוּם	helyum
הֲלִיכָה	halikha
הַלִּיכּוּד	ha-likud
הֲלִיכוֹת	halichot
הֲלִיכַת	halichat
הָלַךְ	halakh
הָלַךְ לְעוֹלָמוֹ	halach lolamo
הֲלָכָה	halakha
הָלְכָה	halkha
הִלְכָתִי	hilkhati
הַלְלוּ	hallu
הַלְּלוּיָהּ	halluyah
הם	him
הַמֵּאָה	hamea
הָמָה	hama
הֵמָּה	hema
הָמוֹן	hamon
המחשבה	hamakhshava
הָמַחְשָׁבוֹת	hamakhshavot
הִמְלִיחַ	himliakh
הִמְלִיךְ	himlikh
הִמְלִיץ	himlits
הַמְלָצָה	hamlatsa
הַמֶּמְשָׁלָה	hamemshala
המערב	hamaarav
הִמְצִיא	himtsi
הַמָּקוֹם	hamakom
הַמִשְׂחָקִים הַאוֹלִימְפִּיִּים	hamiskhakim haolimpiyim
הִמְשִׁיךְ	himshikh
הֶמְשֵׁךְ יָבוֹא	hemshekh yavo
הֶמְשֵׁכִי	hemshekhi
הַמִּשְׁכָּן	hamishkan
הִמְתִּין	himtin
הִמְתִּינוּ	himtinu
הֵן	hen
הַנְדָּסָה	handasa
הֵנָּה	hena
הִנֵּה	hine
הִנְהִיג	hinhig
הֲנָחָה	hanakha
הִנְחָה	hinkha
הַנַּכְּבָּה	hanakba
הֵסֵב	hesev
הִסְבִּיר	hisbir
הִסְגִּיר	hisgir
הַסְּטוּדֶנְטִים	hastudentim
הִסְטוֹרְיָה	historia
הֵסִיר	hesir
הִסְכִּים	hiskim
הֶסְכֵּם	heskem
הֻסַּע	husa
הַסָּעָה	hasaa
הִסְפִּיק	hispik
הִסְתַּדְּרוּת	histadrut
הֲסָתָה	hasata
הִסְתַּיֵּם	histayem
הִסְתַּכֵּל	histakel
הִסְתָּעֵף	histaef
הָעֲבוֹדָה	haavoda
הֶעֱבִיר	heevir
הֶעֱדִיף	heedif
הֵעָדֵר	header
הָעוֹלָם	haolam
הָעִיר	hair
הֵעִיר	heir
הָעָם	haam
הָעֲמִידָה	amida
הָעֲרָבָה	haarava
הָפוּךְ	hafukh
הַפְחָתָה	hafkhata
הַפְטָרָה	haftara
הָפִיךְ	hafikh
הָפַך	hafakh
הֲפֵכָה	hafekha
הִפְלִיא	hifli
הִפְלִיץ	hiflits
הִפְסִיק	hifsik
הַפְסָקַת־אֵשׁ	hafsakat-esh
הִפְעִיל	hifil
הִפְקִיעַ	hifki
‎הַפָּר	hapar
הִפְרִיד	hifrid
הַפְרָעָה	hafraa
הֻפְשַׁט	hufshat
הִפְשִׁיט	hifshit
הִפְתִּיעַ	hiftia
הִצְבִּיעַ	hitzbia
הַצָּגָה	hatzaga
הִצְחִיק	hitskhik
הִצְטַבְרֵחַ	hitstavreakh
הִצְטַחֵק	hitstakhek
הִצְטַלֵּם	hitztalem
הִצְטַנֵּן	hitstanen
הִצִּיג	hitsig
הַצִּילֵנוּ	hatsilenu
הִצִּילָנוּ	hitsilanu
הִצִּיעַ	hitsia
הִצִּית	hitsit
הַצָּלָה	hatsala
הַצְלָחָה	hatzlakha
הִצְלִיחַ	hitzliakh
הַצָּעָה	hatsaa
הִקְבִּיל	hikbil
הִקְדִּישׁ	hikdish
הִקְהִיל	hikhil
הַקֹּטֶב	hakotev
הִקְטִין	hiktin
הֵקִים	heikim
הֵקִימוּ	heikimu
הֲקַלָּה	hakala
הֲקָלָה	hakala
הַקַּלָּה	hakala
הִקְלִיד	hiklid
הִקְלִיק	hiklik
הֲקָמָה	hakama
הֻקַּף	hukaf
הַקְפָּאָה	hakpaa
הֵקֵר	heker
‎הַר‎	har
הָרִאשׁוֹן	harishon
הַרְבֵּה	harbe
הִרְבָּה	hirba
הָרַג	harag
הֶרֶג	hereg
הָרֶה	hare
הַר הָאֱלֹהִים	har haelohim
הָרוּג	harug
הִרְוִיחַ	hirviakh
הֵרוֹן	heron
הִרְחִיב	hirkhiv
הִרְטִיב	hirtiv
הָרֵי	hare
הֲרֵי	harei
הָרִים	harim
הֵרִים	herim
הֲרִיסָה	harisa
הִרְכִּיב	hirkiv
הַר מְגִדּוֹ	har megiddo
הֶרֶס	heres
הֵרֵס	heres
הֹרַס	horas
הר סיני	har sinay
הִרְעִיל	hiril
הַרְצָאָה	hartsaa
הִרְצָה	hirtsa
הֶרְצֵלִיָּה	hertseliyya
הִרְשָׁה	hirsha
הִרְשִׁים	hirshim
הַר שֻׁלְחָן	har shulkhan
הָשֵׁב	hashev
הַשׁוֹאָה	ha-shoa
הִשְׁוָה	hishva
הֵשִׁיב	heshiv
הִשִּׂיג	hisig
הַשְׂכָּלָה	haskala
הִשְׁלִיךְ	hishlikh
הִשְׁלִים	hishlim
הִשְׁמִיד	hishmid
הִשְׁמִין	hishmin
הִשְׁמִיעַ	hishmia
הִשְׁפִּיל	hishpil
הַשְׁפָּעָה	hashpaa
הִשְׁקָה	hishka
הִשְׁקִיעַ	hishkia
הַשְׁקָעָה	hashkaa
הִשְׁתַּדֵּל	hishtadel
הִשְׁתּוֹחֵחַ	hishtokheakh
הִשְׁתַחְרֵר	hishtakhrer
הִשְׁתִּיל	histil
הִשְׁתִּין	hishtin
הִשְׁתַּכְנֵעַ	hishtachnea
הִשְׁתַּכֵּר	hishtaker
הִשְׁתַּלֵּחַ	hishtaleakh
הִשְׁתַּמֵּשׁ	hishtamesh
הִשְׁתַּפֵּר	hishtaper
הִתְאַבֵּד	hitabed
הִתְאַבֵּךְ	hitabekh
הִתְאַבֵּל	hitabel
הִתְאַדָּה	hitada
הִתְאַזֵּן	hitazen
הִתְבַּדֵּחַ	hitbadeakh
הִתְבּוֹדֵד	hitboded
הִתְבַּזְבֵּז	hitbazbez
הִתְבַּטֵּא	hitbate
הִתְבַּלְבֵּל	hitbalbel
הִתְבַּשֵּׁל	hitbashel
הִתְגַּבֵּר	hitgaber
הִתְגַּיֵּס	hitgayes
הִתְגַּיֵּר	hitgayer
הִתְגַּלְגֵּל	hitgalgel
הִתְגַּלָּה	hitgala
הִתְגַלֵּחַ	hitgaleach
הִתְגַּעֲגֵעַ	hitgaagea
הִתְוַדֵּעַ	hitvadea
הִתְוַכֵּחַ	hitvakeach
הִתְחַבֵּא	hitkhabe
הִתְחַבֵּר	hitkhaber
הִתְחַיְּבוּת	hitkhayvut
הִתְחִיל	hitkhil
הַתְחָלוֹת	hatkhalot
הִתְחַמֵּם	hitchamem
הִתִּיז	hitiz
הִתְיָעֲצוּת	hityaatsut
הִתְיַקֵּר	hityaker
הִתְיַקְּרוּת	hityakrut
הִתְיַשֵּׁב	hityashev
הִתְכַּוֵּן	hitkaven
הִתְכּוֹנֵן	hitkonen
הִתְכַּנֵּס	hitkanes
הִתְכַּנְּסוּת	hitkansut
הִתְלַבֵּשׁ	hitlabesh
הִתְלַהֲבוּת	hitlahavut
הִתְלוֹנֵן	hitlonen
הִתְמַהְמֵהַּ	hitmahmeah
הִתְמוֹדֵד	hitmoded
הִתְמַלֵּא	hitmale
הִתְמַצֵּא	hitmatse
הִתְנַבֵּא	hitnabe
הִתְנַגְּדוּת	hitnagdut
הִתְנַדֵּב	hitnadev
הִתְנֻדַּב	hitnudav
הִתְנַהֵג	hitnaheg
התנ״ך	hatanakh
הִתְנַכֵּר	hitnaker
הִתְנַסָּה	hitnasa
הִתְנַעֵר	hitnaer
הִתְנַפֵּל	hitnapel
הִתְנַצֵּל	hitnatsel
הִתְנַקֵּשׁ	hitnakesh
הִתְנַקְּשׁוּת	hitnaqshut
הִתְנַשֵּׁק	hitnashek
הִתְעוֹרֵר	hitorer
הִתְעַטֵּף	hitatef
הִתְעַלָּה	hitala
הִתְעַלֵּל	hitalel
הִתְעַלֵּף	hitalef
הִתְעָרֵב	hitarev
הִתְפּוֹצֵץ	hitpotsets
הִתְפַּטֵּר	hitpater
הִתְפֻּטַּר	hitputar
הִתְפַּלֵּא	hitpale
הִתְפַּלֵּל	hitpalel
הִתְפַסְפֵס	hitfasfes
הִתְפָּרֵד	hitpared
הִתְפַּרְסֵם	hitparsem
הִתְפַּשֵּׁט	hitpashet
הִתְפַּתְּחוּת	hitpatkhut
הִתְקִיף	hitkif
הִתְקַלֵּחַ	hitkaleach
הִתְקַלְקֵל	hitkalkel
הִתְקַנֵּא	hitkane
הֻתְקַף	hutkaf
הַתְקָפָה	hatkafa
הִתְקָרֵב	hitkarev
הִתְקָרֵחַ	hitkareakh
הִתְקָרְחוּת	hitkarkhut
הִתְרָאָה	hitraa
הִתְרַבָּה	hitraba
הִתְרַגֵּז	hitragez
הִתְרוֹקֵן	hitroken
הִתְרַחֵץ	hitrakhetz
הִתְרַחֵשׁ	hitrakhesh
הִתְרַפֵּא	hitrape
־וֹ	-o
וְ־	v-
וַאלְלָה	walla
וְאָמַר	vamar
וְאָמְרוּ	vamru
וְאָמַרְתָּ	vamarta
וּבָאת	uvat
וּבְכֵן	uvkhen
וַדָּאִי	vadai
וְדִבֶּר	vdiber
וְדִבַּרְתָּ	vdibarta
וְהוֹרֵיתִיךָ	vhoreticha
וְהָיוּ	vhayu
וְהִכֵּיתִי	vhiketi or vhiketi
וָו	vav
וואו	wau
ווֹלְקָנִי	volkani
וַיֹּאמֶר	vayomer
וַיָּבֵא	vayave
ויבאו	vayavo
וַיָּבֹאוּ	vayavou
וַיָּבוֹא	vayavo
וַיִּבֶן	vayiven
וַיְבַקֵּשׁ	vayvakesh
וַיְגַדֵּל	vaygadel
וַיִּגְדַּל	vayigdal
וַיְגָרְשׁוּם	vaygarshum
וַיֵּדַע	vayeda
וַיֹּדַע	vayoda
וַיּוֹשִׁעָן	vayoshian
וַיִּזְכֹּר	vayizkor
וַיַּחֲזֶק	vayachazek
וַיֶּחֱזַק	vayechezak
וַיִּטְמְנֵהוּ	vayitmnehu
וְיֶטְנָאם	vyetnam
וַיִּירָא	vayira
וַיַּךְ	vayach
וִילוֹן	vilon
וַיֵּלֶךְ	vayelech
וִילְנָה	vilna
וַיָּמָת	vayamot
וִינָה	vina
וַיִּנְהַג	vayinhag
וַיָּנָס	vayanos
וִיסְקִי	viski
וַיַּסְתֵּר	vayaster
וַיִּסָּתֵר	vayisater
וַיַּעַן	vayaan
וַיִּפֶן	vayifen
וְיָצָא	vyatsa
וִיקִי	viki
וִיקִימִלּוֹן	vikimilon
וִיקִיפֶּדְיוֹת	vikipedyot
וַיָּקָם	vayakom
וַיִּקְרָא	vayikra
וַיַּרְא	vayar
וַיָּשֶׁב	vayashev
וַיָּשָׁב	vayashov
וַיִּשְׁבְּ	vayishb
וַיִּשְׁמַע	vayishma
וַיְשַׁמַּע	vayshama
וַיִּשְׁמְעוּ	vayishmu
וַיַּשְׁקְ	vayashk
וַיִּשַּׁק	vayishak
וְכוּ׳	vkhu.
וִכּוּחַ	vikuakh
וֶנְטִילָטוֹר	ventilator
וֶנֶצְיָה	venetsya
וְנָתַתִּי	vnatati
וַעַד	vaad
וָפֶל	vafel
וֶרֶד	vered
וְרַדְרַד	vradrad
וְשִׁלַּחְתִּי	vshilachti
וְשָׂמַח	vsamach
־וֹת	-ot
וַתֹּאמַרְןָ	vatomarna
וַתְּבִאֵהוּ	vatviehu
וַתָּבֹאנָה	vatavona
וַתַּחְמֹל	vatachmol
וָתִיק	vatik
וַתֵּלֶד	vateled
וַתַּעַל	vataal
וַתִּקָּחֶהָ	vatikacheha
וַתִּקְרָא	vatikra
וַתֵּרֶא	vatere
וַתִּרְאֵהוּ	vatirehu
וַתֵּרֶד	vatered
וַתָּשֶׂם	vatasem
זְאֵב	zev
זָבָה	zava
זָבָה	zava
זְבוּבִים	zvuvim
זְבוּלוּן	zvulun
זְבֻל	zvul
זֶבְּרָה	zebra
זָבַת	zavat
זַגָּג	zagag
זִגֵּג	zigeg
זָהָב	zahav
זִהָה	ziha
זֹהָה	zoha
זִהוּי	zihui
זָהִיר	zahir
זְהִירוּת	zhirut
זִהֵם	zihem
זֹהַם	zoham
זֹהַר	zohar
זֹהַר הַצָּפוֹן	zohar hatsafon
זֹהַר קָטְבִּי	zohar kotbi
זוֹ	zo
זוּ	zu
זוֹאוֹלוֹגְיָה	zoologya
זוּג	zug
זוּז	zuz
זָוִית	zavit
זוֹל	zol
זוֹלֵג	zoleg
זוּלַת	zulat
זוֹנָה	zona
זוֹנֶה	zone
זַחַל	zakhal
זִיּוּן	ziyun
זִיּוּף	ziyuf
זַיָּן&lt;--	zayan
זַיִן	zayin
זִיֵּן	ziyen
זִיף	zif
זִיקּוּק	ziquq
ֵזִיקּוּקֵי דִּי-נוּר	zikukei di-nur
זִיקְפָּה	zikpa
זִירָה	zira
זֵיתָא	zeta
זֵיתִים	zetim
זַךְ	zakh
זָכָה	zakha
זְכוּכִית	zkhukhit
זָכוֹר	zachor
זָכוּר	zachur
זְכוֹר	zchor
זַכּוֹת	zakot
זַכּוּת	zakut
זָכַר	zachar
זָכָר	zachar
זֵכֶר	zecher
זִכָּרוֹן	zikaron
זִכְרִי	zichri
זִכְרֵי	zikhrei
זִכְרִי	zikhri
זְכָרִים	zcharim
ז״ל	z.l.
זִלְפָּה	zilpa
זָמִין	zamin
זָמַם	zamam
זְמָם	zmam
זְמַנִּים	zmanim
זָמַר	zamar
זֶמֶר	zemer
זִמֵּר	zimer
זַמָּרִים	zamarim
זַן	zan
זָן	zan
זָנָב	zanav
זְנָבוֹ	znavo
זַנְגְּבִיל	zangvil
זָנַח	zanakh
זַעֲזוּעַ	zaazua
זִעְזֵעַ	zizea
זֻעְזַע	zuza
זָעַם	zaam
זַעַם	zaam
זָעַף	zaaf
זָקוּק	zakuk
זָקַן	zaqan
זָקָן	zaqan
זָקֵן	zaqen
זָקַף	zakaf
זָר	zar
זֵר	zer
זַ׳רְגוֹן	zhargon
זָרַח	zarach
זֶרַח	zerakh
זְרִיקָה	zrika
זָרַע	zara
זָרַק	zarak
חַאג׳	khaj
חַאלַבּ	khalab
חַבַּ״דְנִיק	khabadnik
חִבּוּק	khibuk
חָבַט	khavat
חֲבִיתָה	khavita
חֲבָל	khaval
חֶבֶל	khevel
חַבָּלָה	khabala
חֲבָלָה	khavala
חֲבַצֶלֶת	havatzelet
חֶבֶק	khevek
חִבֵּק	khibek
חָבַר	khavar
חֶבֶר	khever
חִבֵּר	khiber
חֻבַּר	khubar
חֲבֵרָה	khavera
חֶבְרָה	khevra
חֶבְרֶה	khevre
חֶבְרוֹן	khevron
חֲבָרוֹת	havarot
חֲבֵרוּת	haverut
חַבְרוּתָא	habruta
חֲבֵר כְּנֶסֶת	khaver kneset
חַג׳	khaj
חָגַג	khagag
חַג הָאוּרִים	khag haurim
חֲגוֹרָה	khagora
חַגַּי	khaggay
חֲגִיגִי	khagigi
חַגִּים	chagim
חַד	had
חַד אֵיבָר	khad eivar
חַד גּוֹנִי	khad goni
חִדּוּשׁ	khidush
חֲדִירָה	khadira
חִדֶּקֶל	khidekel
חֶדֶר	kheder
חֲדֵרָה	khadera
חֲדָרִים	khadarim
חֲדַר־מִיּוּן	khadar-miyun
חָדָשׁ	khadash
חַדֵּשׁ	khadesh
חִדֵּשׁ	khidesh
חֲדָשׁוֹת	khadashot
חָדְשִׁי	chodshi
חֲדָשִׁים	khadashim
חֳדָשִׁים	khodashim
חוֹב	khov
חַוָּה	khava
חָוָה	khava
חוֹזֶה	choze
חִוֵּט	khivet
חוּט	khut
חוּ״ל	hu.l.
חוֹלֵל	kholel
חוֹנֵךְ	khonekh
חוֹף	khof
חוּץ	khutz
חוּץ מִ־	khuts mi-
חוּץ מִזֶה	khuts mize
חוֹקֵר	khoker
חוּר	ur
חִוֵּר	khiver
חוֹשֵׁב	khoshev
חָזָ״ל	khazal
חָזַק	chazak
חָזָק	chazak
חֹזֶק	khozek
חֲזָקָה	chazaka
חָזְקָה	chazka
חָזַר	chazar
חֲזָרָה	khazara
חַטָּא	khata
חָטָא	khata
חִטָּה	khita
חָטוּף	khatuf
חֲטַף סֶגּוֹל	khataf segol
חֲטַף פַּתָּח	khataf patakh
חֲטַף קָמָץ	khataf kamats
חֹטֶר	khoter, hoter
חַי	khay
חַיְדַּק	haydaq
חַיָּה	khaya
חִיּוּבִי	khiyuvi
חִיּוּךְ	khiyukh
חַיֵּיהֶם	chayehem
חַיִּים	hayim
חַיִּים	khayim
חַיִּים	khayim
חִיֵּךְ	khiyekh
חַיָּל	khayal
חַיִל	khayil
חֵיל אֲוִיר	kheil avir
חַיָּלִים	chayalim
חימם	khimem
חֵיפָה	kheifa
חֵיקוֹ	cheko
חֵי״ת	khet
חַיַּת מַחְמָד	khayat makhmad
חִכָּה	khika
חָכַם	khakham
חָכָם	khakham
חָכְמָה	khokhma
חָכְמִוֹת	khakhamut
חָכְמִים	khakhamim
חָל	khal
חָלַב	khalav
חֵלֶב	khelev
חַלְבָה	khalva
חֶלְבּוֹן	chelbon
חלב ישראל	chalav yisrael
חֶלֶד	kheled
חֹלֶד	kholed
חֻלְדָּה	hulda
חַלָּה	khala
חַלְוָה	khalva
חֲלוֹמוֹת	khalomot
חַלּוֹן	khalon
חִלּוּן	khilun
חַלְחֹלֶת	khalkholet
חַלְטוּרָה	khaltura
חֻלְיָה	hulya
חָלִיל	khalil
חָלִילָה	khalila
חֲלִיפָה	khalifa
חִלֵּל	hillel
חָלַם	khalam
חָלָס	halas
חָלַף	khalaf
חֻלְצָה	khultsa
חֵלֶק	khelek
חֵלֶק דִּבּוּר	khelek dibur
חֲלֵקֵי־	khalkei-
חֶלְקִי	khelki
חַם	kham
חֹם	khom
חֶמְאָה	khema
חָמַד	khamad
חֶמֶד	khemed
חַמָּה	khama
חֵמָה	khema
חָמוּד	khamud
חָמוּץ	khamutz
חֲמוֹר	khamor
חָמוּר	khamur
חָמוֹת	khamot
חַמִּין	khamin
חֲמִיצָה	chamitzah
חֲמִישִׁי	khamishi
חָמַל	khamal
חֶמְלָה	khemla
חָמָס	khamas
חֻמְצָה	khumtsa
חֻמְצָה	khumtza
חַמְצָן	khamtsan
חֲמֹר	chamor
חֶמֶר	chemer
חִמֵּר	chimer
חֹמֶר	chomer
חֹמֶר	khomer
חָמֵשׁ	khamesh
חֲמִשָּׁה עָשָׂר	khamisha asar
חֲמִשִּׁים	khamishim
חֲמֵשׁ עֶשְׂרֵה	khamesh esre
חֵן	chen
חָנָה	hana
חַנָּה	khana
חֲנוֹךְ	khanokh
חִנּוּךְ גּוּפָנִי	khinukh gufani
חִנּוּכֵי־	khinukhei-
חְנוּן	khnun
חְנוּנִית	khnunit
חַנְיוֹן	khanyon
חֲנֻיּוֹת	khanuyot
חָנַךְ	khanakh
חֻנַּךְ	khunakh
חֲנֻכָּה	hanukka
חֲנֻכָּה	khanuka
חֲנֻכִּיָּה	khanukiya
חָנַן	hanan
חָנָן	hanan
חָנַק	khanak
חַנְקָן	khankan
חָס	khas
חֶסֶד	khesed
חָסָה	khasa
חָסִיד	khasid
חֲסִידִי	khasidi
חָסַךְ	khasakh
חֹסֶר־אוֹנִים	khoser-onim
חִסָּרוֹן	khisaron
חִפָּה	khipa
חֻפָּה	khupa
חִפּוּשׂ	khipus
חֲפִיר	khafir
חָפַף	khafaf
חָפַץ	hafats
חֵפֶץ	hefets
חָפַר	khafar
חֲפַרְפֶּרֶת	hafarperet
חֻפַּשׁ	khupas
חֻפַּשׁ	khupash
חֻפְשָׁה	khufsha
חָפְשִׁית	khofshit
חֲצָאִית	khatsait
חֲצוֹת	khatsot
חֲצוֹת־הַלֵּיל	khatsot-haleyl
חֲצוֹת־הַלַּיְלָה	khatsot-halayla
חֵצִי	khetsi
חָצִיל	chatsil
חֻצְפָּה	khutspa
חִקָּה	khika
חֻקָּה	khuka
חַקְלָאוּת	khaklaut
חָקַק	khakak
חָקַר	khakar
חֵקֶר	kheker
חֵקֶר הַדָּגִים	kheker hadagim
חָרַב	kharav
חֶרֶב	kherev
חֲרֵדִיוֹת	kharediot
חֲרֵדִיּוּת	kharediut
חֲרֵדִים	kharedim
חֲרֵדִית	kharedit
חָרוּב	kharuv
חָרוּת	kharut
חֵרוּת	kherrut
חֵרוּת	kherut
חַרְטוֹם	khartom
חֵרֶם	herem
חֶרְמוֹן	khermon
חַרְמָן	kharman
חֶרֶס	kheres
חֲרֹסֶת	kharoset
חֹרֶף	khoref
חָרַץ	kharats
חֶרֶק	kherek
חָרַשׁ	kharash
חָרָשׁ	kharash
חֵרֵשׁ	kheresh
חָשׁ	khash
חַשָּׁב	khashav
חָשַׁב	khashav
